sample	mutation_type	mutations
TCGA-AB-2907	Splice_Site	2
TCGA-AB-2908	Frame_Shift_Del	2
TCGA-AB-2908	Missense_Mutation	11
TCGA-AB-2908	Nonsense_Mutation	3
TCGA-AB-2909	In_Frame_Ins	1
TCGA-AB-2910	Frame_Shift_Del	1
TCGA-AB-2910	Missense_Mutation	9
TCGA-AB-2911	Missense_Mutation	1
TCGA-AB-2911	Splice_Site	1
TCGA-AB-2912	Frame_Shift_Ins	1
TCGA-AB-2912	Missense_Mutation	15
TCGA-AB-2912	Nonsense_Mutation	1
TCGA-AB-2912	Splice_Site	2
TCGA-AB-2913	Frame_Shift_Ins	1
TCGA-AB-2913	In_Frame_Ins	1
TCGA-AB-2913	Missense_Mutation	5
TCGA-AB-2913	Splice_Site	3
TCGA-AB-2914	Frame_Shift_Ins	1
TCGA-AB-2914	Missense_Mutation	10
TCGA-AB-2914	Nonsense_Mutation	2
TCGA-AB-2914	Splice_Site	1
TCGA-AB-2915	Frame_Shift_Ins	1
TCGA-AB-2915	In_Frame_Del	1
TCGA-AB-2915	In_Frame_Ins	1
TCGA-AB-2915	Missense_Mutation	8
TCGA-AB-2915	Nonsense_Mutation	1
TCGA-AB-2915	Splice_Site	2
TCGA-AB-2916	Missense_Mutation	6
TCGA-AB-2916	Nonsense_Mutation	1
TCGA-AB-2916	Splice_Site	1
TCGA-AB-2917	Missense_Mutation	12
TCGA-AB-2917	Nonsense_Mutation	1
TCGA-AB-2917	Splice_Site	1
TCGA-AB-2918	In_Frame_Ins	1
TCGA-AB-2919	Missense_Mutation	8
TCGA-AB-2920	Frame_Shift_Ins	2
TCGA-AB-2920	Missense_Mutation	7
TCGA-AB-2921	In_Frame_Ins	1
TCGA-AB-2921	Missense_Mutation	7
TCGA-AB-2922	Frame_Shift_Ins	1
TCGA-AB-2922	In_Frame_Ins	1
TCGA-AB-2922	Missense_Mutation	8
TCGA-AB-2922	Nonsense_Mutation	1
TCGA-AB-2923	Frame_Shift_Del	1
TCGA-AB-2923	Frame_Shift_Ins	1
TCGA-AB-2923	Missense_Mutation	15
TCGA-AB-2923	Nonsense_Mutation	3
TCGA-AB-2924	Frame_Shift_Del	1
TCGA-AB-2924	Frame_Shift_Ins	1
TCGA-AB-2924	Missense_Mutation	7
TCGA-AB-2924	Nonsense_Mutation	1
TCGA-AB-2925	In_Frame_Ins	1
TCGA-AB-2925	Missense_Mutation	14
TCGA-AB-2926	Frame_Shift_Ins	1
TCGA-AB-2926	Missense_Mutation	10
TCGA-AB-2926	Nonsense_Mutation	1
TCGA-AB-2926	Splice_Site	1
TCGA-AB-2927	Frame_Shift_Ins	2
TCGA-AB-2927	Missense_Mutation	11
TCGA-AB-2927	Nonsense_Mutation	2
TCGA-AB-2927	Splice_Site	3
TCGA-AB-2928	Frame_Shift_Del	1
TCGA-AB-2928	Missense_Mutation	7
TCGA-AB-2928	Nonsense_Mutation	1
TCGA-AB-2929	In_Frame_Del	1
TCGA-AB-2929	Missense_Mutation	9
TCGA-AB-2929	Nonsense_Mutation	2
TCGA-AB-2930	Frame_Shift_Ins	1
TCGA-AB-2930	In_Frame_Ins	1
TCGA-AB-2930	Missense_Mutation	3
TCGA-AB-2930	Splice_Site	1
TCGA-AB-2931	Missense_Mutation	8
TCGA-AB-2931	Splice_Site	2
TCGA-AB-2932	Frame_Shift_Ins	1
TCGA-AB-2932	In_Frame_Del	1
TCGA-AB-2932	Missense_Mutation	3
TCGA-AB-2933	Missense_Mutation	1
TCGA-AB-2934	Frame_Shift_Ins	1
TCGA-AB-2934	In_Frame_Ins	1
TCGA-AB-2934	Missense_Mutation	5
TCGA-AB-2934	Splice_Site	1
TCGA-AB-2935	Missense_Mutation	8
TCGA-AB-2936	Missense_Mutation	3
TCGA-AB-2936	Nonsense_Mutation	2
TCGA-AB-2937	Frame_Shift_Del	1
TCGA-AB-2937	Missense_Mutation	7
TCGA-AB-2937	Nonsense_Mutation	2
TCGA-AB-2937	Splice_Site	2
TCGA-AB-2938	Frame_Shift_Del	3
TCGA-AB-2938	Missense_Mutation	13
TCGA-AB-2939	Missense_Mutation	10
TCGA-AB-2939	Nonsense_Mutation	1
TCGA-AB-2940	Frame_Shift_Del	1
TCGA-AB-2940	In_Frame_Ins	1
TCGA-AB-2940	Nonsense_Mutation	1
TCGA-AB-2941	Missense_Mutation	3
TCGA-AB-2942	In_Frame_Ins	1
TCGA-AB-2943	Missense_Mutation	8
TCGA-AB-2943	Nonsense_Mutation	2
TCGA-AB-2943	Splice_Site	1
TCGA-AB-2945	Frame_Shift_Del	1
TCGA-AB-2945	Frame_Shift_Ins	1
TCGA-AB-2945	Missense_Mutation	10
TCGA-AB-2946	Missense_Mutation	1
TCGA-AB-2947	Frame_Shift_Ins	1
TCGA-AB-2947	Missense_Mutation	2
TCGA-AB-2948	Frame_Shift_Ins	1
TCGA-AB-2948	Missense_Mutation	1
TCGA-AB-2949	Frame_Shift_Del	2
TCGA-AB-2949	Missense_Mutation	12
TCGA-AB-2949	Splice_Site	1
TCGA-AB-2950	Frame_Shift_Del	2
TCGA-AB-2950	Missense_Mutation	5
TCGA-AB-2950	Nonsense_Mutation	1
TCGA-AB-2950	Splice_Site	1
TCGA-AB-2952	Frame_Shift_Del	1
TCGA-AB-2952	Missense_Mutation	13
TCGA-AB-2954	Missense_Mutation	1
TCGA-AB-2955	Frame_Shift_Del	1
TCGA-AB-2955	In_Frame_Ins	1
TCGA-AB-2955	Missense_Mutation	9
TCGA-AB-2955	Nonsense_Mutation	1
TCGA-AB-2956	Missense_Mutation	3
TCGA-AB-2957	Missense_Mutation	2
TCGA-AB-2959	Missense_Mutation	22
TCGA-AB-2959	Splice_Site	1
TCGA-AB-2963	Frame_Shift_Del	1
TCGA-AB-2963	Frame_Shift_Ins	1
TCGA-AB-2963	Missense_Mutation	12
TCGA-AB-2964	Missense_Mutation	10
TCGA-AB-2964	Nonsense_Mutation	3
TCGA-AB-2964	Splice_Site	1
TCGA-AB-2965	Frame_Shift_Del	1
TCGA-AB-2965	Frame_Shift_Ins	1
TCGA-AB-2965	In_Frame_Ins	1
TCGA-AB-2965	Missense_Mutation	7
TCGA-AB-2966	Frame_Shift_Del	1
TCGA-AB-2966	Missense_Mutation	10
TCGA-AB-2967	Frame_Shift_Ins	3
TCGA-AB-2967	Missense_Mutation	3
TCGA-AB-2967	Nonsense_Mutation	2
TCGA-AB-2967	Splice_Site	2
TCGA-AB-2968	Frame_Shift_Del	1
TCGA-AB-2968	Frame_Shift_Ins	1
TCGA-AB-2968	Missense_Mutation	8
TCGA-AB-2968	Nonsense_Mutation	1
TCGA-AB-2968	Splice_Site	1
TCGA-AB-2970	Frame_Shift_Del	1
TCGA-AB-2970	In_Frame_Ins	1
TCGA-AB-2970	Missense_Mutation	2
TCGA-AB-2970	Splice_Site	1
TCGA-AB-2971	Frame_Shift_Del	1
TCGA-AB-2971	Missense_Mutation	6
TCGA-AB-2971	Nonsense_Mutation	2
TCGA-AB-2972	Frame_Shift_Ins	1
TCGA-AB-2972	Missense_Mutation	16
TCGA-AB-2972	Nonsense_Mutation	2
TCGA-AB-2972	Splice_Site	1
TCGA-AB-2973	Missense_Mutation	2
TCGA-AB-2974	Frame_Shift_Ins	1
TCGA-AB-2974	Missense_Mutation	5
TCGA-AB-2975	Missense_Mutation	1
TCGA-AB-2975	Nonsense_Mutation	1
TCGA-AB-2976	Frame_Shift_Ins	3
TCGA-AB-2976	In_Frame_Ins	1
TCGA-AB-2976	Missense_Mutation	10
TCGA-AB-2976	Nonsense_Mutation	1
TCGA-AB-2977	Missense_Mutation	5
TCGA-AB-2978	Missense_Mutation	10
TCGA-AB-2978	Nonsense_Mutation	4
TCGA-AB-2978	Splice_Site	1
TCGA-AB-2979	Frame_Shift_Del	1
TCGA-AB-2979	Frame_Shift_Ins	1
TCGA-AB-2979	In_Frame_Del	1
TCGA-AB-2979	Missense_Mutation	3
TCGA-AB-2980	In_Frame_Ins	1
TCGA-AB-2980	Missense_Mutation	3
TCGA-AB-2981	Frame_Shift_Ins	1
TCGA-AB-2981	In_Frame_Ins	1
TCGA-AB-2981	Missense_Mutation	2
TCGA-AB-2982	Missense_Mutation	1
TCGA-AB-2983	Missense_Mutation	11
TCGA-AB-2984	Frame_Shift_Ins	1
TCGA-AB-2984	In_Frame_Ins	1
TCGA-AB-2984	Missense_Mutation	7
TCGA-AB-2984	Splice_Site	1
TCGA-AB-2985	Missense_Mutation	3
TCGA-AB-2986	Frame_Shift_Ins	1
TCGA-AB-2986	In_Frame_Ins	1
TCGA-AB-2986	Missense_Mutation	7
TCGA-AB-2986	Nonsense_Mutation	2
TCGA-AB-2987	Frame_Shift_Ins	1
TCGA-AB-2987	Missense_Mutation	6
TCGA-AB-2988	Frame_Shift_Ins	1
TCGA-AB-2988	Missense_Mutation	11
TCGA-AB-2988	Splice_Site	1
TCGA-AB-2989	Frame_Shift_Del	1
TCGA-AB-2989	Frame_Shift_Ins	2
TCGA-AB-2989	Missense_Mutation	8
TCGA-AB-2990	Frame_Shift_Ins	1
TCGA-AB-2990	Missense_Mutation	6
TCGA-AB-2990	Nonsense_Mutation	1
TCGA-AB-2991	Missense_Mutation	6
TCGA-AB-2991	Nonsense_Mutation	1
TCGA-AB-2992	Frame_Shift_Ins	1
TCGA-AB-2992	Missense_Mutation	5
TCGA-AB-2992	Nonsense_Mutation	2
TCGA-AB-2993	Frame_Shift_Del	1
TCGA-AB-2993	Frame_Shift_Ins	1
TCGA-AB-2993	In_Frame_Ins	1
TCGA-AB-2993	Missense_Mutation	6
TCGA-AB-2993	Nonsense_Mutation	2
TCGA-AB-2994	In_Frame_Ins	1
TCGA-AB-2994	Missense_Mutation	5
TCGA-AB-2995	Missense_Mutation	4
TCGA-AB-2995	Splice_Site	1
TCGA-AB-2996	Frame_Shift_Del	1
TCGA-AB-2996	Missense_Mutation	10
TCGA-AB-2996	Nonsense_Mutation	1
TCGA-AB-2997	Frame_Shift_Del	1
TCGA-AB-2997	Missense_Mutation	8
TCGA-AB-2998	In_Frame_Ins	1
TCGA-AB-2998	Missense_Mutation	4
TCGA-AB-2999	Missense_Mutation	8
TCGA-AB-2999	Nonsense_Mutation	1
TCGA-AB-3000	In_Frame_Ins	1
TCGA-AB-3000	Missense_Mutation	1
TCGA-AB-3000	Nonsense_Mutation	1
TCGA-AB-3001	Missense_Mutation	7
TCGA-AB-3001	Splice_Site	3
TCGA-AB-3002	Missense_Mutation	15
TCGA-AB-3002	Nonsense_Mutation	1
TCGA-AB-3002	Splice_Site	5
TCGA-AB-3005	Missense_Mutation	10
TCGA-AB-3005	Nonsense_Mutation	2
TCGA-AB-3006	In_Frame_Ins	1
TCGA-AB-3006	Missense_Mutation	12
TCGA-AB-3006	Nonsense_Mutation	1
TCGA-AB-3007	In_Frame_Ins	1
TCGA-AB-3007	Missense_Mutation	4
TCGA-AB-3007	Splice_Site	1
TCGA-AB-3008	In_Frame_Ins	1
TCGA-AB-3008	Missense_Mutation	2
TCGA-AB-3009	Frame_Shift_Ins	5
TCGA-AB-3009	In_Frame_Ins	1
TCGA-AB-3009	Missense_Mutation	25
TCGA-AB-3009	Nonsense_Mutation	2
TCGA-AB-3009	Splice_Site	1
TCGA-AB-3011	Frame_Shift_Ins	1
TCGA-AB-3011	Missense_Mutation	4
TCGA-AB-3012	Frame_Shift_Del	1
TCGA-AB-3012	Frame_Shift_Ins	1
TCGA-AB-3012	Missense_Mutation	6
TCGA-AB-3012	Splice_Site	1
